timestamp,snapshot_file,slug,question,midpoint,micro_price,obi,v_bid,v_ask,bid_count,ask_count,status
2026-07-04T05:37:09Z,snapshot_20260703_2059.csv,will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting,Will there be no change in Fed interest rates after the July 2026 meeting?,0.895,0.892625,-0.475,3050149.79,8570495.29,54,10,ok
2026-07-04T05:37:10Z,snapshot_20260703_2059.csv,putin-out-before-2027,"Putin out as President of Russia by December 31, 2026?",0.105,0.107852,0.5705,9556735.54,2613751.55,10,59,ok
2026-07-04T05:37:12Z,snapshot_20260703_2059.csv,will-the-fed-increase-interest-rates-by-25-bps-after-the-july-2026-meeting,Will the Fed increase interest rates by 25 bps after the July 2026 meeting?,0.0955,0.095306,-0.3875,10264213.29,23251928.48,95,140,ok
2026-07-04T05:37:13Z,snapshot_20260703_2059.csv,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,0.0335,0.033902,0.8038,15986696.9,1738957.31,33,186,ok
2026-07-04T05:37:14Z,snapshot_20260703_2059.csv,us-x-iran-diplomatic-meeting-by-july-10-2026-20260622191708360,"US x Iran diplomatic meeting by July 10, 2026?",0.0175,0.017791,0.5816,604315.43,159889.64,17,76,ok
2026-07-04T05:44:58Z,snapshot_20260703_2059.csv,will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting,Will there be no change in Fed interest rates after the July 2026 meeting?,0.895,0.892624,-0.4753,3047879.23,8569692.1,54,10,ok
2026-07-04T05:44:59Z,snapshot_20260703_2059.csv,putin-out-before-2027,"Putin out as President of Russia by December 31, 2026?",0.105,0.107903,0.5806,9531503.54,2528868.67,10,59,ok
2026-07-04T05:45:00Z,snapshot_20260703_2059.csv,will-the-fed-increase-interest-rates-by-25-bps-after-the-july-2026-meeting,Will the Fed increase interest rates by 25 bps after the July 2026 meeting?,0.0955,0.095306,-0.3876,10263914.29,23254686.74,95,140,ok
2026-07-04T05:45:01Z,snapshot_20260703_2059.csv,will-china-invade-taiwan-before-2027,Will China invade Taiwan by end of 2026?,0.0335,0.033902,0.8032,15920126.15,1737908.13,33,185,ok
2026-07-04T05:45:03Z,snapshot_20260703_2059.csv,us-x-iran-diplomatic-meeting-by-july-10-2026-20260622191708360,"US x Iran diplomatic meeting by July 10, 2026?",0.0175,0.017795,0.5901,605558.43,156114.52,17,75,ok
